no.,dudx,dudy,dvdx,dvdy,eps_I,eps_II,eps_tot
31,-2.8922427708744092e-05,-3.3256329958545466e-05,3.232979265854752e-05,-2.846622588401071e-05,-5.73886535927548e-05,1.0327591554556926e-06,5.7397945543916343e-05
32,nan,nan,nan,nan,nan,nan,nan
33,-3.103725625553874e-05,-2.9065996544367853e-05,2.7788125774197425e-05,-2.9434528220129152e-05,-6.0471784475667895e-05,2.049802639461625e-06,6.050651542216237e-05
34,-2.9894169991323896e-05,-2.875078588916377e-05,2.7617003430346898e-05,-2.948950875181211e-05,-5.9383678743136006e-05,1.2038327885067967e-06,5.9395879608358925e-05
35,-3.0488274150650488e-05,-2.9314872014499574e-05,2.860153839467916e-05,-2.7481285330921423e-05,-5.796955948157191e-05,3.090441168367663e-06,5.805187897994901e-05
36,-2.875371262540949e-05,-2.71252310296774e-05,2.6109844908805968e-05,-3.0338311052147127e-05,-5.9092023677556615e-05,1.8820098693890342e-06,5.9121985956642134e-05
37,-3.0408497276333823e-05,-2.7319873535254155e-05,2.811323662377241e-05,-3.052010514315029e-05,-6.092860241948411e-05,8.011749535267213e-07,6.093386967933124e-05
38,-3.0959321185095555e-05,-2.9250636188442834e-05,2.842570684868928e-05,-2.9572949563405615e-05,-6.053227074850117e-05,1.6132373318930566e-06,6.0553764017267035e-05
39,-2.9338917866831432e-05,-2.8567380649269225e-05,2.8000947590589575e-05,-2.875519511047475e-05,-5.8094112977306184e-05,8.133748620739541e-07,5.80998067233125e-05
40,-3.0686839856053014e-05,-2.9586245839833582e-05,2.8915202077151037e-05,-2.7527260409665466e-05,-5.821410026571848e-05,3.2300529422085005e-06,5.8303642354115354e-05
41,-3.1317695602824797e-05,-2.9000611780520937e-05,2.967773449902289e-05,-2.873511466305878e-05,-6.005281026588358e-05,2.6698725599462973e-06,6.011213055878627e-05
42,-2.852755437453454e-05,-2.782441826914249e-05,2.6444835376837617e-05,-2.81174807039708e-05,-5.664503507850534e-05,1.4392391642912926e-06,5.666331624973189e-05
43,-2.9455242071643392e-05,-2.8573031461245554e-05,2.7586544680602287e-05,-2.7676779149887754e-05,-5.7132021221531146e-05,2.033737085378422e-06,5.7168207383037025e-05
44,-2.8815313353988334e-05,-2.696860969720119e-05,2.7333385171690594e-05,-2.8029215584202127e-05,-5.684452893819046e-05,8.666088220482281e-07,5.685113438670529e-05
45,-2.8077352879853426e-05,-2.7740524974760768e-05,2.6611998002024073e-05,-2.6909891355786364e-05,-5.498724423563979e-05,1.6237424482876698e-06,5.501121311303971e-05
46,-2.7190563963322076e-05,-2.81190494134222e-05,2.5850489371093133e-05,-2.685387174183873e-05,-5.4044435705160807e-05,2.2934093218741932e-06,5.409307494501417e-05
47,-2.6002171941957863e-05,-2.6869243567553824e-05,2.38926415363494e-05,-2.6851733639032815e-05,-5.285390558099068e-05,3.0954668031344104e-06,5.294447327052735e-05
48,-0.03172866867794173,0.025188438915291232,-0.07457792833565868,-0.005756358939439987,-0.03748502761738172,0.0558021732404506,0.06722358093580802
49,0.0111627255732803,0.0217804733252936,-0.005716567765968322,-0.011215015170072562,-5.2289596792261944e-05,0.02754654865124915,0.027546598279961337
50,0.017218279063270198,0.03356760951430117,0.033608475550306105,0.0653860984646003,0.0826043775278705,0.08266054216182293,0.11685995215322255
51,-2.68529871814277e-05,-2.6280464633397782e-05,2.740284659163983e-05,-2.711368009755688e-05,-5.396666727898458e-05,1.1522595439861573e-06,5.397896700806095e-05
52,-2.7936209374046853e-05,-2.8730566999848797e-05,2.859638096475159e-05,-2.477944982728908e-05,-5.271565920133593e-05,3.159610217742285e-06,5.281026284501389e-05
53,-2.7348635106973912e-05,-2.8743540140857733e-05,2.7790287518092427e-05,-2.3905270510049537e-05,-5.125390561702345e-05,3.5728770354101333e-06,5.137828618501116e-05
54,-2.749251388622226e-05,-2.7176257431070234e-05,2.495702100002717e-05,-2.6823359796007695e-05,-5.4315873682229954e-05,2.317925264826207e-06,5.436530981607003e-05
55,nan,nan,nan,nan,nan,nan,nan
