no.,vertice_idx1,vertice_idx2,vertice_idx3
169,532,530,511
170,497,530,529
171,530,497,511
172,341,319,324
173,341,357,319
174,473,503,491
175,503,512,491
176,512,503,534
177,671,632,636
178,632,671,647
179,497,485,511
180,468,485,452
181,485,497,452
182,287,274,295
183,306,294,295
184,294,287,295
185,287,294,288
186,235,268,255
187,268,235,274
188,274,235,224
189,235,227,224
190,202,211,207
191,193,202,187
192,221,193,198
193,211,193,221
194,202,193,211
195,75,66,78
196,75,65,66
197,147,150,139
198,123,130,120
199,125,99,104
200,83,98,120
201,98,123,120
202,98,125,123
203,98,99,125
204,220,235,231
205,235,220,227
206,220,211,227
207,220,214,211
208,180,158,164
209,125,136,140
210,136,125,104
211,136,154,140
212,154,136,151
213,252,259,248
214,217,225,213
215,204,217,213
216,225,222,213
217,229,217,223
218,217,229,225
219,229,241,240
220,225,229,240
221,194,213,170
222,194,204,213
223,89,97,108
224,97,106,108
225,106,97,59
226,59,62,31
227,97,62,59
228,49,13,31
229,62,49,31
230,92,82,102
231,92,102,47
232,68,92,47
233,82,73,87
234,2,15,14
235,54,58,56
236,54,48,87
237,58,54,87
238,910,905,906
239,904,908,913
240,908,914,913
241,914,908,910
242,908,905,910
243,848,734,698
244,734,703,698
245,893,894,901
246,886,894,893
247,894,886,870
248,894,907,901
249,907,894,870
250,792,824,783
251,824,792,825
252,651,703,695
253,644,637,667
254,826,805,845
255,805,748,763
256,748,805,754
257,828,844,825
258,828,826,845
259,844,828,845
260,356,318,308
261,283,297,301
262,308,297,298
263,318,297,308
264,356,322,363
265,322,356,308
266,495,456,457
267,495,522,509
268,495,509,490
269,456,495,490
270,475,495,457
271,314,313,303
272,302,313,329
273,313,302,303
274,393,369,401
275,369,393,368
276,402,429,401
277,369,402,401
278,402,369,370
279,408,402,370
280,335,314,316
281,370,335,371
282,429,458,475
283,484,479,498
284,498,479,295
285,479,444,295
286,444,465,438
287,465,479,484
288,479,465,444
289,682,655,683
290,674,655,682
291,723,672,673
292,750,714,700
293,714,681,700
294,681,657,647
295,647,657,612
296,657,640,612
297,672,709,663
298,709,671,663
299,671,709,700
300,723,709,672
301,709,745,700
302,745,709,758
303,321,311,328
304,301,321,315
305,311,321,301
