no.,sX1_aeqd,sX2_aeqd,sX3_aeqd,sY1_aeqd,sY2_aeqd,sY3_aeqd,vertice_idx1,vertice_idx2,vertice_idx3
386,917492.6104777936,929266.3701324093,924825.0846818252,9445858.285941916,9441240.782156747,9449833.61717378,892,919,891
387,889032.8062122131,875617.7386923757,884770.6485313083,9439161.23111517,9445043.724259194,9430214.62255863,873,843,888
388,889032.8062122131,884559.4108316267,875617.7386923757,9439161.23111517,9447736.798042096,9445043.724259194,873,850,843
389,920675.700626525,928127.8576813943,943834.6399057283,9423384.071510823,9409839.62702426,9429335.038820794,951,980,961
390,928127.8576813943,943726.1794993125,943834.6399057283,9409839.62702426,9409505.241233766,9429335.038820794,980,992,961
391,943726.1794993125,928127.8576813943,936413.5699500461,9409505.241233766,9409839.62702426,9405544.428953419,992,980,993
392,928127.8576813943,911535.9905075455,913521.0446248337,9409839.62702426,9418409.987280374,9401888.34795012,980,952,981
393,911535.9905075455,928127.8576813943,920675.700626525,9418409.987280374,9409839.62702426,9423384.071510823,952,980,951
394,937456.7475440701,924257.4688955371,924825.0846818252,9454462.787270632,9462726.995562531,9449833.61717378,900,862,891
395,914082.9907927109,924257.4688955371,928566.5618643231,9466020.610071158,9462726.995562531,9471656.192398349,840,862,848
396,924257.4688955371,917492.6104777936,924825.0846818252,9462726.995562531,9445858.285941916,9449833.61717378,862,892,891
397,917492.6104777936,924257.4688955371,914082.9907927109,9445858.285941916,9462726.995562531,9466020.610071158,892,862,840
398,934852.8012346898,941656.7757297797,928566.5618643231,9464051.457296258,9480908.382358855,9471656.192398349,872,839,848
399,941656.7757297797,934852.8012346898,947290.2158447586,9480908.382358855,9464051.457296258,9466353.20015727,839,872,882
400,924257.4688955371,934852.8012346898,928566.5618643231,9462726.995562531,9464051.457296258,9471656.192398349,862,872,848
401,934852.8012346898,924257.4688955371,937456.7475440701,9464051.457296258,9462726.995562531,9454462.787270632,872,862,900
402,822935.7595078829,808502.8060989622,822183.5686620377,9482302.46537072,9476507.758683704,9473031.486247357,662,652,688
403,808502.8060989622,822935.7595078829,807414.8992345628,9476507.758683704,9482302.46537072,9484764.944898885,652,662,624
404,794641.74801721,785560.1285925927,793553.4866026136,9433319.370105533,9428224.606290873,9419412.917229775,753,754,787
405,785560.1285925927,781037.6545139839,793553.4866026136,9428224.606290873,9414594.380880425,9419412.917229775,754,778,787
406,769412.1256061059,785560.1285925927,782644.8569323865,9421350.63351845,9428224.606290873,9435456.792109359,748,754,730
407,781037.6545139839,785560.1285925927,769412.1256061059,9414594.380880425,9428224.606290873,9421350.63351845,778,754,748
408,789913.1446028192,787177.0325096906,782644.8569323865,9439535.544011261,9449087.877600057,9435456.792109359,729,700,730
409,785560.1285925927,789913.1446028192,782644.8569323865,9428224.606290873,9439535.544011261,9435456.792109359,754,729,730
410,789913.1446028192,785560.1285925927,794641.74801721,9439535.544011261,9428224.606290873,9433319.370105533,729,754,753
411,725896.4886544141,739082.2777178672,739927.5128717547,9467836.057551054,9457516.472104575,9469115.083644748,539,591,563
412,739082.2777178672,725896.4886544141,726715.0991223119,9457516.472104575,9467836.057551054,9454947.053104654,591,539,584
413,744303.2819026669,737900.8780767696,732297.5169193916,9433796.377667451,9441279.715201395,9435872.0148906,674,636,647
414,739082.2777178672,737900.8780767696,749125.2504934649,9457516.472104575,9441279.715201395,9452085.429823533,591,636,625
415,737900.8780767696,726715.0991223119,732297.5169193916,9441279.715201395,9454947.053104654,9435872.0148906,636,584,647
416,737900.8780767696,739082.2777178672,726715.0991223119,9441279.715201395,9457516.472104575,9454947.053104654,636,591,584
417,764674.5820166277,769412.1256061059,782644.8569323865,9427554.32607979,9421350.63351845,9435456.792109359,720,748,730
418,764082.6436698966,764674.5820166277,782644.8569323865,9442761.10845876,9427554.32607979,9435456.792109359,677,720,730
419,764674.5820166277,758890.3015834633,769412.1256061059,9427554.32607979,9419844.238412138,9421350.63351845,720,736,748
420,758890.3015834633,764674.5820166277,744303.2819026669,9419844.238412138,9427554.32607979,9433796.377667451,736,720,674
421,764082.6436698966,766423.6808825108,757515.2008115754,9442761.10845876,9450741.255879624,9447938.575186858,677,664,654
422,766423.6808825108,764082.6436698966,776978.5504450838,9450741.255879624,9442761.10845876,9452238.65216653,664,677,673
